------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       196.617229502,       -14.8809527569
        196.95390284,       -14.8809527569
       197.290576178,       -14.8809527569
       197.627249517,       -14.8809527569
       197.963922855,       -14.8809527569
       198.300596193,       -14.8809527569
       198.637269531,       -14.8809527569
       198.973942869,       -14.8809527569
       199.310616207,       -14.8809527569
       199.647289546,       -14.8809527569
       199.983962884,       -14.8809527569
       200.320636222,       -14.8809527569
        200.65730956,       -14.8809527569
       200.993982898,       -14.8809527569
       201.330656237,       -14.8809527569
       201.667329575,       -14.8809527569
       202.004002913,       -14.8809527569
       202.340676251,       -14.8809527569
       202.677349589,       -14.8809527569
       203.014022928,       -14.8809527569
       203.350696266,       -14.8809527569
       203.687369604,       -14.8809527569
       204.024042942,       -14.8809527569
        204.36071628,       -14.8809527569
       204.697389618,       -14.8809527569
       205.034062957,       -14.8809527569
       205.370736295,       -14.8809527569
       205.707409633,       -14.8809527569
       206.044082971,       -14.8809527569
       206.380756309,       -14.8809527569
       206.717429648,       -14.8809527569
       207.054102986,       -14.8809527569
       207.390776324,       -14.8809527569
       207.727449662,       -14.8809527569
          208.064123,       -14.8809527569
       208.400796339,       -14.8809527569
       208.737469677,       -14.8809527569
       209.074143015,       -14.8809527569
       209.410816353,       -14.8809527569
       209.747489691,       -14.8809527569
        210.08416303,       -14.8809527569
       210.420836368,       -14.8809527569
       210.757509706,       -14.8809527569
       211.094183044,       -14.8809527569
       211.430856382,       -14.8809527569
        211.76752972,       -14.8809527569
       212.104203059,       -14.8809527569
       212.440876397,       -14.8809527569
       212.777549735,       -14.8809527569
       213.114223073,       -14.8809527569
       213.450896411,       -14.8809527569
        213.78756975,       -14.8809527569
       214.124243088,       -14.8809527569
       214.460916426,       -14.8809527569
       214.797589764,       -14.8809527569
       215.134263102,       -14.8809527569
       215.470936441,       -14.8809527569
       215.807609779,       -14.8809527569
       216.144283117,       -14.8809527569
       216.480956455,       -14.8809527569
       216.817629793,       -14.8809527569
       217.154303131,       -14.8809527569
        217.49097647,       -14.8809527569
       217.827649808,       -14.8809527569
       218.164323146,       -14.8809527569
       218.500996484,       -14.8809527569
       218.837669822,       -14.8809527569
       219.174343161,       -14.8809527569
       219.511016499,       -14.8809527569
       219.847689837,       -14.8809527569
       220.184363175,       -14.8809527569
       220.521036513,       -14.8809527569
       220.857709852,       -14.8809527569
        221.19438319,       -14.8809527569
       221.531056528,       -14.8809527569
       221.867729866,       -14.8809527569
       222.204403204,       -14.8809527569
       222.541076542,       -14.8809527569
       222.877749881,       -14.8809527569
       223.214423219,       -14.8809527569
       223.551096557,       -14.8809527569
       223.887769895,       -14.8809527569
       224.224443233,       -14.8809527569
       224.561116572,       -14.8809527569
        224.89778991,       -14.8809527569
       225.234463248,       -14.8809527569
       225.571136586,       -14.8809527569
       225.907809924,       -14.8809527569
       226.244483263,       -14.8809527569
       226.581156601,       -14.8809527569
       226.917829939,       -14.8809527569
       227.254503277,       -14.8809527569
